Score,Frequency,Percentage,Total,Chance
0,1784,0.09604823947,1784,0.09604823947
2,30,0.001615160978,1814,0.09766340045
3,1040,0.05599224723,2854,0.1536556477
5,18,0.0009690965866,2872,0.1546247443
6,808,0.043501669,3680,0.1981264133
7,1932,0.104016367,5612,0.3021427802
8,32,0.001722838376,5644,0.3038656186
9,378,0.02035102832,6022,0.3242166469
10,1844,0.09927856143,7866,0.4234952084
11,44,0.002368902767,7910,0.4258641111
12,208,0.01119844945,8118,0.4370625606
13,1226,0.06600624529,9344,0.5030688059
14,1692,0.09109507914,11036,0.594163885
15,150,0.008075804889,11186,0.6022396899
16,582,0.03133412297,11768,0.6335738129
17,1582,0.08517282222,13350,0.7187466351
18,80,0.004307095941,13430,0.723053731
19,264,0.0142134166,13694,0.7372671476
20,972,0.05233121568,14666,0.7895983633
21,1022,0.05502315064,15688,0.8446215139
22,120,0.006460643911,15808,0.8510821579
23,404,0.0217508345,16212,0.8728329924
24,796,0.04285560461,17008,0.915688597
25,54,0.00290728976,17062,0.9185958867
26,110,0.005922256918,17172,0.9245181436
27,346,0.01862818994,17518,0.9431463336
28,326,0.01755141596,17844,0.9606977495
29,40,0.00215354797,17884,0.9628512975
30,102,0.005491547324,17986,0.9683428448
31,214,0.01152148164,18200,0.9798643265
32,30,0.001615160978,18230,0.9814794875
33,54,0.00290728976,18284,0.9843867772
34,86,0.004630128136,18370,0.9890169054
35,64,0.003445676752,18434,0.9924625821
36,18,0.0009690965866,18452,0.9934316787
37,22,0.001184451384,18474,0.9946161301
38,50,0.002691934963,18524,0.997308065
39,4,0.000215354797,18528,0.9975234198
40,2,0.0001076773985,18530,0.9976310972
41,18,0.0009690965866,18548,0.9986001938
42,4,0.000215354797,18552,0.9988155486
43,2,0.0001076773985,18554,0.998923226
44,4,0.000215354797,18558,0.9991385808
45,6,0.0003230321955,18564,0.999461613
47,2,0.0001076773985,18566,0.9995692904
48,4,0.000215354797,18570,0.9997846452
49,4,0.000215354797,18574,1