Score,Frequency,Percentage,Total,Chance
2,4,0.0002162395935,4,0.0002162395935
3,74,0.004000432479,78,0.004216672073
5,8,0.0004324791869,86,0.00464915126
6,136,0.007352146178,222,0.01200129744
7,218,0.01178505784,440,0.02378635528
8,10,0.0005405989837,450,0.02432695427
9,138,0.007460265975,588,0.03178722024
10,310,0.01675856849,898,0.04854578873
11,12,0.0006487187804,910,0.04919450751
12,120,0.006487187804,1030,0.05568169532
13,536,0.02897610552,1566,0.08465780084
14,514,0.02778678776,2080,0.1124445886
15,116,0.006270948211,2196,0.1187155368
16,494,0.02670558979,2690,0.1454211266
17,930,0.05027570548,3620,0.1956968321
18,78,0.004216672073,3698,0.1999135042
19,374,0.02021840199,4072,0.2201319062
20,1210,0.06541247702,5282,0.2855443832
21,754,0.04076116337,6036,0.3263055465
22,220,0.01189317764,6256,0.3381987242
23,838,0.04530219483,7094,0.383500919
24,1356,0.07330522219,8450,0.4568061412
25,130,0.007027786788,8580,0.463833928
26,508,0.02746242837,9088,0.4912963564
27,1348,0.072872743,10436,0.5641690994
28,870,0.04703211158,11306,0.6112012109
29,228,0.01232565683,11534,0.6235268678
30,750,0.04054492378,12284,0.6640717915
31,1124,0.06076332576,13408,0.7248351173
32,96,0.005189750243,13504,0.7300248676
33,306,0.0165423289,13810,0.7465671965
34,840,0.04541031463,14650,0.7919775111
35,608,0.03286841821,15258,0.8248459293
36,128,0.006919666991,15386,0.8317655963
37,392,0.02119148016,15778,0.8529570764
38,658,0.03557141313,16436,0.8885284896
39,66,0.003567953292,16502,0.8920964429
40,132,0.007135906584,16634,0.8992323494
41,364,0.01967780301,16998,0.9189101524
42,306,0.0165423289,17304,0.9354524813
44,166,0.008973943129,17470,0.9444264245
45,310,0.01675856849,17780,0.961184993
46,24,0.001297437561,17804,0.9624824305
47,56,0.003027354309,17860,0.9655097848
48,146,0.007892745162,18006,0.97340253
49,114,0.006162828414,18120,0.9795653584
50,24,0.001297437561,18144,0.980862796
51,70,0.003784192886,18214,0.9846469889
52,86,0.00464915126,18300,0.9892961401
53,14,0.0007568385771,18314,0.9900529787
54,16,0.0008649583739,18330,0.9909179371
55,36,0.001946156341,18366,0.9928640934
56,46,0.002486755325,18412,0.9953508487
57,12,0.0006487187804,18424,0.9959995675
58,16,0.0008649583739,18440,0.9968645259
59,20,0.001081197967,18460,0.9979457239
60,4,0.0002162395935,18464,0.9981619635
61,6,0.0003243593902,18470,0.9984863228
62,16,0.0008649583739,18486,0.9993512812
63,2,0.0001081197967,18488,0.999459401
64,2,0.0001081197967,18490,0.9995675208
65,2,0.0001081197967,18492,0.9996756406
66,2,0.0001081197967,18494,0.9997837604
70,2,0.0001081197967,18496,0.9998918802
72,2,0.0001081197967,18498,1